id,carat,cut,color,clarity,depth,table,x,y,z,price
152767,0.3,Ideal,G,VS1,61.9,57.0,4.32,4.29,2.66,603
27985,0.54,Ideal,G,VS1,62.7,57.0,5.23,5.2,3.27,1657
50444,1.23,Premium,J,VS2,62.6,58.0,6.84,6.77,4.26,6334
144962,0.41,Ideal,F,VS2,61.8,55.0,4.74,4.77,2.94,863
71449,0.31,Very Good,G,VVS2,63.0,58.0,4.27,4.29,2.7,707
146970,0.39,Ideal,G,VS1,62.3,55.0,4.69,4.66,2.91,1104
34459,1.51,Premium,F,SI1,61.3,58.0,7.43,7.38,4.55,11863
22900,1.19,Premium,F,VS1,61.1,59.0,6.83,6.78,4.16,8256
165654,0.5,Very Good,G,VS2,60.3,62.0,5.06,5.1,3.06,1321
109502,0.78,Very Good,G,SI1,61.1,57.0,5.94,5.96,3.63,2310
152283,1.01,Premium,F,SI1,62.4,57.0,6.44,6.37,4.0,5186
132781,0.73,Ideal,F,VS2,62.0,54.0,5.75,5.8,3.58,3119
46012,0.43,Ideal,E,SI2,61.7,56.0,4.87,4.83,3.0,1016
1310,1.22,Premium,H,VVS1,61.8,58.0,6.88,6.85,4.24,10562
3516,0.23,Very Good,E,VVS2,61.9,61.0,3.93,3.97,2.45,505
141784,0.3,Premium,G,VS2,61.4,59.0,4.29,4.31,2.63,675
177106,0.72,Ideal,D,SI1,60.8,53.0,5.81,5.84,3.54,3195
62825,0.54,Ideal,D,VS2,62.4,57.0,5.23,5.2,3.25,1857
119027,0.71,Premium,I,VS2,61.5,58.0,5.72,5.74,3.53,2184
179501,1.07,Premium,G,VS1,61.7,58.0,6.59,6.54,4.05,7293
189676,1.51,Premium,J,VVS2,62.2,61.0,7.33,7.31,4.55,9030
22747,0.5,Premium,G,VVS2,59.6,61.0,5.12,5.08,3.05,1835
81707,0.32,Ideal,G,SI1,62.5,56.0,4.37,4.4,2.73,491
90705,0.71,Very Good,E,VS1,61.4,59.0,5.71,5.75,3.52,3024
137005,1.01,Ideal,F,SI1,60.1,60.0,6.55,6.57,3.94,5921
88784,1.5,Very Good,F,SI1,62.3,58.0,7.32,7.27,4.54,11176
155966,1.06,Ideal,G,VS2,61.9,55.0,6.52,6.57,4.04,6623
4434,0.7,Good,D,SI1,63.8,61.0,5.57,5.61,3.56,2239
14911,0.72,Ideal,F,VS2,61.6,55.0,5.73,5.79,3.55,3033
117954,1.76,Premium,G,VS2,62.5,58.0,7.76,7.67,4.79,13512
190912,0.42,Ideal,E,VS1,62.1,55.0,4.81,4.79,2.98,1147
43851,0.3,Good,E,SI1,63.6,57.0,4.33,4.29,2.75,675
54541,0.3,Ideal,G,VVS2,62.0,57.0,4.3,4.34,2.68,655
171131,1.03,Ideal,H,SI1,61.2,56.0,6.55,6.48,3.98,4890
62344,0.31,Ideal,F,VS2,61.5,56.0,4.33,4.35,2.67,872
34791,0.7,Ideal,H,SI1,60.5,59.0,5.69,5.74,3.44,1808
29495,1.14,Premium,I,SI1,61.1,62.0,6.76,6.72,4.11,4509
76044,1.01,Very Good,E,SI1,62.1,60.0,6.35,6.39,3.96,4807
32209,0.46,Ideal,G,SI1,62.4,54.0,4.89,4.94,3.08,1000
170050,0.51,Ideal,G,VVS2,61.5,56.0,5.18,5.16,3.18,1791
115045,0.91,Very Good,I,VS2,62.4,56.0,6.18,6.22,3.87,3528
133115,0.23,Very Good,E,VVS1,61.5,61.0,3.93,3.97,2.43,530
185350,0.3,Ideal,E,VS2,62.1,57.0,4.28,4.31,2.67,834
18001,0.3,Ideal,G,VS1,62.1,57.0,4.33,4.3,2.68,676
98847,0.5,Premium,E,VS2,60.7,60.0,5.18,5.15,3.13,1781
145762,0.3,Very Good,D,VS2,63.0,58.0,4.32,4.3,2.71,710
4901,0.58,Ideal,G,VVS1,60.8,56.0,5.41,5.43,3.29,2573
119221,0.37,Premium,F,VS2,62.0,60.0,4.56,4.59,2.84,957
125216,0.41,Premium,D,VVS2,59.9,58.0,4.8,4.82,2.87,1243
118337,0.41,Ideal,E,VS1,61.9,56.0,4.79,4.77,2.96,1153
26944,0.31,Ideal,F,IF,62.0,55.0,4.32,4.35,2.69,946
84809,0.7,Very Good,I,VS1,62.3,58.0,5.67,5.7,3.54,2224
110840,1.21,Premium,H,VS2,61.0,60.0,6.86,6.89,4.19,6722
85858,0.7,Ideal,F,VS2,62.2,57.0,5.68,5.66,3.53,2616
136970,0.52,Ideal,F,VVS2,61.3,56.0,5.24,5.2,3.19,2073
95555,1.21,Very Good,H,VS2,59.6,59.0,7.03,6.98,4.18,7990
170440,0.9,Very Good,F,VS2,63.2,56.0,6.1,6.13,3.86,4439
178996,1.02,Very Good,H,SI1,63.5,57.0,6.35,6.4,4.04,5152
19361,0.3,Ideal,F,VS1,60.4,56.0,4.34,4.38,2.63,570
142032,0.53,Ideal,H,SI1,60.7,57.0,5.26,5.2,3.18,1237
72463,1.2,Very Good,G,VVS2,63.1,58.0,6.72,6.78,4.25,7743
16326,0.54,Ideal,D,SI2,61.8,57.0,5.23,5.2,3.23,1276
186774,0.51,Ideal,G,VS1,62.4,55.0,5.11,5.13,3.19,1656
123826,1.02,Very Good,G,SI1,59.7,61.0,6.51,6.54,3.89,5243
141253,0.91,Premium,H,VS2,61.2,60.0,6.23,6.21,3.81,3750
81880,1.51,Premium,F,SI1,62.2,58.0,7.29,7.34,4.55,12394
61566,0.33,Ideal,F,VS1,61.6,57.0,4.48,4.46,2.76,880
137074,0.31,Ideal,D,SI2,62.4,56.0,4.34,4.37,2.72,593
162435,1.02,Good,F,SI1,64.1,59.0,6.27,6.32,4.02,4586
129985,0.3,Ideal,G,VS1,62.1,56.0,4.32,4.31,2.68,776
50323,0.5,Very Good,H,VVS1,62.9,59.0,5.05,5.08,3.19,1715
15010,1.03,Ideal,D,SI1,62.0,56.0,6.41,6.47,4.0,5866
111876,0.41,Ideal,D,SI1,62.1,57.0,4.77,4.79,2.97,1015
47606,0.5,Ideal,E,VS2,63.0,56.0,5.09,5.05,3.19,1746
3121,0.73,Ideal,H,SI1,63.0,57.0,5.77,5.74,3.62,2360
180451,1.1,Premium,F,VS2,62.1,60.0,6.55,6.51,4.06,6980
174720,1.5,Very Good,H,VS1,60.3,59.0,7.38,7.41,4.46,11637
182225,1.02,Ideal,G,VS2,60.8,56.0,6.52,6.47,3.95,5914
41865,0.5,Ideal,F,SI2,60.9,55.0,5.17,5.2,3.15,1286
52652,1.52,Premium,G,VS1,61.9,58.0,7.4,7.35,4.56,14507
33809,0.75,Ideal,F,VS2,61.8,55.0,5.84,5.88,3.63,3784
116912,0.51,Premium,F,VVS2,62.3,55.0,5.14,5.1,3.2,2012
99723,0.81,Premium,G,I1,62.7,59.0,5.92,5.89,3.72,2441
7081,0.43,Ideal,F,VVS1,61.9,57.0,4.83,4.87,3.0,1349
9518,0.4,Very Good,G,VVS1,61.3,55.0,4.77,4.8,2.93,998
82253,0.5,Very Good,G,IF,62.0,54.0,5.09,5.12,3.17,2093
175379,1.35,Ideal,F,VS2,61.1,56.0,7.15,7.09,4.35,9740
150273,0.3,Very Good,F,SI2,63.3,59.0,4.32,4.28,2.72,506
191933,0.9,Premium,G,VS2,61.0,59.0,6.24,6.22,3.81,4419
23888,1.06,Ideal,G,VVS2,61.5,57.0,6.59,6.54,4.03,8364
22250,0.54,Ideal,G,SI2,61.3,57.0,5.24,5.21,3.21,1103
109667,0.51,Ideal,H,VVS1,62.7,55.0,5.1,5.11,3.2,1778
3619,1.21,Ideal,J,SI1,62.9,54.0,6.83,6.8,4.29,5724
80743,0.3,Very Good,H,VS1,62.4,58.0,4.3,4.32,2.69,545
109966,0.9,Premium,H,IF,60.6,58.0,6.24,6.18,3.75,4285
116695,1.01,Premium,G,SI2,61.6,61.0,6.42,6.38,3.94,4032
61027,0.56,Premium,G,VS2,60.5,58.0,5.37,5.34,3.23,1548
137371,0.41,Premium,F,VVS1,60.8,59.0,4.76,4.79,2.9,1255
28931,0.3,Ideal,H,VS2,61.9,56.0,4.31,4.32,2.67,457
161431,0.32,Ideal,I,SI1,60.1,57.0,4.48,4.45,2.68,540
21666,0.25,Ideal,E,VVS2,60.8,56.0,4.09,4.12,2.48,498
76034,0.34,Ideal,G,VVS2,62.6,55.0,4.44,4.51,2.8,775
132766,0.33,Ideal,E,SI2,61.0,57.0,4.5,4.47,2.73,594
74360,0.32,Very Good,I,VS2,62.5,57.0,4.34,4.38,2.73,446
118789,0.56,Ideal,E,VS1,60.6,58.0,5.31,5.36,3.24,2006
6482,0.71,Very Good,E,SI2,63.0,57.0,5.64,5.66,3.55,1778
73318,0.33,Ideal,F,VS2,61.4,57.0,4.43,4.47,2.73,666
116530,1.71,Ideal,F,SI1,62.4,57.0,7.67,7.61,4.74,12647
97669,0.7,Good,D,SI1,58.1,60.0,5.84,5.87,3.39,2656
156374,0.3,Very Good,E,SI1,60.7,61.0,4.29,4.32,2.61,478
6911,0.41,Premium,G,SI1,60.0,58.0,4.82,4.79,2.88,947
767,1.22,Ideal,H,VS2,60.7,59.0,6.92,6.89,4.19,5885
21843,0.51,Very Good,E,VS2,63.0,59.0,5.1,5.08,3.21,1659
118634,0.5,Premium,E,SI2,62.0,59.0,5.1,5.04,3.14,1056
94427,0.53,Ideal,D,VS2,62.4,54.0,5.19,5.23,3.25,1993
150857,1.01,Ideal,I,VS2,61.6,54.0,6.46,6.43,3.97,5855
6105,1.0,Very Good,F,SI2,62.8,58.0,6.39,6.38,4.01,4009
34925,0.71,Ideal,G,VS1,61.7,56.0,5.71,5.74,3.54,2753
109903,0.75,Ideal,D,VS2,61.3,56.0,5.89,5.85,3.59,3210
51763,0.31,Ideal,H,SI2,61.7,55.0,4.38,4.4,2.71,433
17040,1.0,Fair,E,SI1,64.5,61.0,6.25,6.18,4.01,4664
91773,0.71,Premium,D,SI1,60.3,59.0,5.82,5.77,3.48,2845
111958,0.37,Ideal,E,VVS1,61.3,57.0,4.66,4.64,2.85,1017
126150,0.51,Ideal,G,VS1,60.7,55.0,5.2,5.23,3.17,1746
84502,0.8,Ideal,D,SI1,61.8,54.0,5.98,6.0,3.7,3568
134171,0.41,Ideal,D,VS2,62.3,57.0,4.78,4.73,2.96,1076
140761,0.3,Ideal,F,IF,61.8,54.0,4.34,4.37,2.69,886
43990,0.3,Ideal,I,VVS2,61.9,55.0,4.31,4.35,2.68,586
190282,0.33,Ideal,F,IF,61.2,55.0,4.46,4.48,2.74,760
132162,0.41,Very Good,G,VS1,60.7,60.0,4.78,4.82,2.91,899
5740,0.37,Ideal,E,VS1,61.6,55.0,4.65,4.61,2.86,1124
161672,0.5,Premium,F,VS2,62.6,53.0,5.07,5.09,3.18,1436
142638,0.3,Ideal,F,SI1,62.0,55.0,4.3,4.32,2.67,499
49536,1.56,Ideal,D,VS2,62.8,57.0,7.42,7.45,4.68,17160
90068,0.4,Premium,F,SI1,62.5,58.0,4.7,4.71,2.94,882
1873,1.1,Premium,H,SI1,62.5,58.0,6.56,6.52,4.09,5950
11836,0.26,Ideal,E,SI1,62.5,57.0,4.13,4.11,2.57,551
48084,0.7,Premium,F,SI1,62.7,62.0,5.63,5.58,3.52,2250
161122,0.4,Premium,E,SI1,61.9,58.0,4.71,4.74,2.92,882
45415,1.55,Ideal,H,VS1,60.9,56.0,7.42,7.46,4.54,12771
7705,0.7,Ideal,F,SI2,62.8,57.0,5.66,5.7,3.57,2298
130849,1.05,Ideal,H,SI1,62.1,57.0,6.51,6.53,4.04,5158
55841,0.28,Ideal,F,VVS2,61.7,55.0,4.22,4.26,2.61,528
156225,0.7,Very Good,E,VS2,61.2,59.0,5.65,5.79,3.49,2935
33545,1.16,Ideal,H,SI2,61.5,57.0,6.78,6.72,4.15,4832
181322,1.11,Premium,H,SI2,62.3,61.0,6.66,6.61,4.14,4198
17230,1.26,Ideal,F,VS2,61.0,56.0,7.0,6.96,4.25,10094
7350,0.31,Ideal,F,SI1,62.1,55.0,4.34,4.37,2.7,555
168955,1.5,Fair,D,VS2,66.1,55.0,7.17,7.09,4.66,14507
95963,2.01,Fair,I,SI1,65.7,65.0,8.01,7.78,4.58,10401
98011,1.27,Ideal,F,VS1,62.6,57.0,6.92,6.88,4.33,11035
38005,1.01,Ideal,H,SI1,61.7,56.0,6.4,6.44,3.96,5407
98282,1.01,Premium,I,SI2,62.8,55.0,6.4,6.34,4.0,3818
64456,0.7,Ideal,F,VS1,61.9,57.0,5.65,5.72,3.52,2990
122809,0.3,Good,D,SI1,63.1,58.0,4.27,4.25,2.69,756
178912,1.08,Ideal,G,VS1,61.9,57.0,6.57,6.59,4.07,7094
150808,0.71,Very Good,J,VS1,62.9,58.0,5.65,5.68,3.56,1926
157019,1.06,Premium,H,VS1,60.3,59.0,6.59,6.63,4.0,5612
72011,0.41,Premium,F,VVS2,59.4,60.0,4.8,4.83,2.86,1114
117737,0.52,Ideal,G,VS1,61.7,54.0,5.21,5.17,3.2,1715
6567,0.3,Ideal,G,VS1,62.2,57.0,4.27,4.28,2.67,643
163987,0.7,Ideal,D,SI1,62.0,55.0,5.69,5.72,3.54,2826
37161,0.32,Ideal,F,VVS1,61.8,54.0,4.4,4.43,2.73,893
168899,1.64,Ideal,F,VS2,61.3,55.0,7.59,7.62,4.68,18421
140363,0.31,Ideal,F,VVS1,62.1,57.0,4.29,4.32,2.67,942
118263,0.4,Ideal,D,VS2,61.0,57.0,4.75,4.79,2.91,930
160342,1.01,Ideal,H,SI2,61.8,54.0,6.41,6.45,3.98,3879
172480,0.51,Ideal,G,SI1,62.3,55.0,5.13,5.08,3.19,1172
139598,0.39,Ideal,E,VS2,60.6,57.0,4.72,4.75,2.87,811
88248,0.31,Ideal,E,VS2,61.8,57.0,4.35,4.36,2.69,673
34818,0.33,Very Good,E,SI1,62.1,59.0,4.41,4.44,2.75,579
137899,0.58,Ideal,G,SI1,62.9,54.0,5.32,5.38,3.36,1435
14265,0.32,Ideal,G,VS2,62.4,57.0,4.38,4.36,2.72,720
123733,0.9,Ideal,D,SI2,61.5,57.0,6.21,6.24,3.82,4068
85817,1.0,Ideal,H,SI1,61.9,56.0,6.43,6.39,3.97,4922
90621,0.31,Ideal,G,SI1,62.4,56.0,4.34,4.37,2.72,489
141331,2.01,Good,D,SI2,61.7,58.0,8.09,8.13,5.01,17028
67317,1.15,Ideal,I,VS2,62.5,56.0,6.73,6.69,4.19,5557
165562,1.1,Premium,J,SI2,62.4,57.0,6.67,6.57,4.14,3497
115942,0.73,Ideal,G,VS2,60.9,57.0,5.8,5.83,3.55,2925
39057,0.3,Ideal,E,SI2,61.8,55.0,4.34,4.37,2.69,421
134951,0.41,Ideal,E,VS1,60.6,55.0,4.85,4.83,2.93,1079
6124,0.38,Ideal,G,SI1,61.0,55.0,4.68,4.72,2.88,692
137908,1.0,Premium,G,SI2,62.0,56.0,6.41,6.34,3.96,4088
100191,0.71,Ideal,I,VS2,61.2,57.0,5.69,5.75,3.5,2048
151262,0.7,Ideal,D,SI2,60.8,56.0,5.74,5.77,3.49,2154
119575,1.52,Ideal,G,VVS2,61.3,57.0,7.36,7.42,4.54,14998
43595,0.72,Very Good,J,SI1,60.1,63.0,5.77,5.83,3.48,1922
133664,1.02,Very Good,E,SI2,59.9,60.0,6.55,6.62,3.96,4764
100416,0.43,Ideal,I,VS2,61.6,57.0,4.84,4.88,2.99,769
153126,1.52,Premium,D,SI1,62.4,58.0,7.37,7.4,4.6,12466
86612,0.3,Good,G,VVS2,63.6,57.0,4.29,4.26,2.72,878
28927,0.91,Premium,D,SI2,61.9,58.0,6.18,6.2,3.83,4587
114156,0.38,Ideal,D,VVS2,62.4,56.0,4.62,4.65,2.89,1111
146838,1.51,Good,E,SI2,63.6,60.0,7.29,7.24,4.62,9248
173952,0.7,Ideal,E,SI2,61.6,56.0,5.69,5.71,3.51,2309
181914,2.05,Premium,I,VS2,61.9,58.0,8.17,8.12,5.05,18640
135126,0.31,Good,F,SI1,63.7,55.0,4.29,4.32,2.75,489
80522,1.84,Premium,G,VS2,62.7,58.0,7.8,7.85,4.89,17433
141051,0.71,Ideal,E,VVS2,61.9,57.0,5.7,5.73,3.54,2802
160974,0.32,Premium,G,VS2,61.6,58.0,4.38,4.35,2.7,589
3777,0.93,Ideal,G,SI2,60.3,56.0,6.29,6.26,3.79,3172
149003,1.04,Ideal,D,VVS2,61.3,56.0,6.5,6.53,4.0,9212
121813,1.21,Premium,G,IF,61.6,59.0,6.88,6.8,4.22,10752
189883,0.38,Ideal,G,VS1,62.4,54.0,4.64,4.67,2.91,818
91474,2.01,Ideal,G,SI2,62.5,57.0,8.08,8.03,5.0,16397
76435,0.42,Ideal,E,VVS2,61.1,56.0,4.85,4.87,2.96,1237
148854,0.6,Ideal,G,VVS2,62.0,57.0,5.39,5.43,3.35,2218
79342,1.0,Very Good,D,SI1,63.3,57.0,6.26,6.31,3.98,4679
148003,0.71,Ideal,E,SI1,61.8,57.0,5.72,5.75,3.54,2747
163793,0.32,Ideal,G,VVS1,60.6,57.0,4.45,4.48,2.7,895
69294,0.51,Very Good,E,VS2,61.0,57.0,5.12,5.15,3.13,1660
61214,0.9,Ideal,G,SI2,61.8,57.0,6.15,6.17,3.81,3461
142606,0.9,Ideal,I,VS2,61.3,57.0,6.21,6.24,3.83,3785
94901,0.4,Ideal,D,VS2,61.3,56.0,4.76,4.79,2.93,982
129529,1.0,Premium,E,SI1,61.8,60.0,6.43,6.48,3.98,4798
8330,0.3,Ideal,D,SI1,61.8,56.0,4.29,4.31,2.66,709
73135,1.09,Premium,G,VS2,61.3,58.0,6.67,6.61,4.06,6132
128683,0.53,Premium,D,SI1,61.3,59.0,5.18,5.21,3.18,1605
48226,1.7,Ideal,I,SI2,62.4,54.0,7.63,7.6,4.75,8971
121397,0.4,Very Good,J,VS1,58.4,62.0,4.88,4.9,2.86,770
144035,0.3,Premium,G,VS1,62.5,59.0,4.29,4.26,2.67,605
33557,0.7,Ideal,G,SI1,60.3,57.0,5.8,5.76,3.48,2596
76129,2.17,Ideal,I,VS2,59.4,60.0,8.51,8.54,5.05,18026
172710,1.09,Ideal,J,SI2,62.0,56.0,6.54,6.56,4.06,4201
108855,1.04,Ideal,F,SI2,62.0,55.0,6.49,6.52,4.03,4363
40268,1.15,Ideal,G,VS2,62.2,56.0,6.68,6.72,4.18,5947
177233,0.54,Ideal,D,VS2,61.6,56.0,5.22,5.24,3.22,1728
141709,2.04,Premium,E,SI2,60.6,59.0,8.28,8.19,4.98,13786
142265,1.02,Very Good,G,VS2,60.6,59.0,6.51,6.54,3.95,6108
191653,0.7,Premium,E,VS2,62.5,59.0,5.65,5.61,3.5,2474
46403,0.35,Ideal,F,VS1,61.3,56.0,4.56,4.54,2.79,1080
43503,0.33,Ideal,D,SI1,61.3,56.0,4.48,4.44,2.73,739
124240,0.32,Ideal,F,VVS1,61.2,56.0,4.4,4.43,2.7,912
110606,1.26,Premium,H,VS2,62.4,58.0,6.93,6.89,4.3,7550
120755,1.1,Premium,G,SI2,61.2,60.0,6.64,6.61,4.05,4116
28714,0.56,Ideal,F,VVS1,61.4,56.0,5.36,5.34,3.28,2326
134054,0.95,Premium,H,SI2,62.8,61.0,6.19,6.16,3.87,3611
136194,0.7,Ideal,E,SI1,60.8,57.0,5.73,5.76,3.5,2774
178148,0.32,Premium,G,SI2,61.1,60.0,4.37,4.4,2.68,405
28322,1.01,Ideal,H,VS2,61.6,56.0,6.46,6.49,3.99,5779
42076,1.01,Ideal,F,SI1,62.6,55.0,6.38,6.44,4.01,5055
78582,0.34,Premium,G,VS2,61.1,59.0,4.53,4.48,2.75,765
57827,0.5,Very Good,H,SI1,61.1,63.0,5.05,5.11,3.11,1144
184468,0.73,Ideal,G,VVS2,61.7,56.0,5.81,5.84,3.59,3407
171348,1.05,Very Good,F,VS1,63.0,56.0,6.48,6.52,4.11,6492
128343,1.0,Very Good,D,SI1,62.4,59.0,6.34,6.37,3.97,5656
181505,0.41,Ideal,E,SI1,62.4,55.0,4.77,4.76,2.97,969
132079,1.11,Ideal,F,SI2,62.5,57.0,6.68,6.62,4.15,5342
54729,1.2,Very Good,I,SI1,63.1,57.0,6.73,6.7,4.22,5248
154921,0.31,Ideal,D,SI1,61.9,54.0,4.35,4.38,2.7,732
55971,0.71,Ideal,I,VS2,61.0,57.0,5.76,5.81,3.54,2167
72299,1.09,Ideal,F,SI1,62.0,56.0,6.59,6.54,4.08,6539
167916,1.24,Premium,G,VS1,59.0,59.0,7.01,7.04,4.21,9030
37911,1.01,Premium,H,SI1,62.8,58.0,6.39,6.35,4.0,4162
61135,0.3,Very Good,F,SI2,61.3,60.0,4.28,4.33,2.64,394
59091,0.23,Very Good,D,VVS2,62.8,61.0,3.92,3.89,2.45,485
153669,1.53,Very Good,I,VS1,59.5,60.0,7.5,7.53,4.44,9513
116420,0.38,Good,G,SI1,63.1,56.0,4.6,4.57,2.89,700
161062,0.3,Ideal,G,IF,61.1,56.0,4.34,4.31,2.64,988
48068,0.3,Ideal,D,VVS1,61.6,56.0,4.31,4.33,2.66,862
161700,0.54,Ideal,F,SI1,61.9,56.0,5.2,5.23,3.23,1337
2931,1.16,Premium,G,VS2,62.0,59.0,6.77,6.71,4.18,6250
117306,1.01,Premium,D,VS2,62.1,59.0,6.44,6.39,3.99,8381
91756,0.33,Premium,E,VVS2,60.7,59.0,4.55,4.51,2.75,965
4487,0.4,Ideal,F,VVS2,62.2,56.0,4.69,4.72,2.93,1116
24747,0.7,Premium,H,VS2,61.5,59.0,5.68,5.59,3.48,2184
46752,0.33,Ideal,F,SI1,61.2,56.0,4.45,4.48,2.73,533
122748,0.73,Ideal,F,VS1,60.9,57.0,5.82,5.85,3.55,3349
121692,0.32,Premium,H,VS1,59.5,59.0,4.51,4.48,2.66,720
4776,1.0,Premium,F,SI1,60.5,61.0,6.43,6.38,3.89,4805
106903,0.3,Ideal,G,VVS2,62.1,57.0,4.32,4.3,2.68,878
18892,0.35,Premium,F,SI1,60.3,58.0,4.57,4.6,2.76,644
145754,0.31,Ideal,E,VVS1,60.5,56.0,4.39,4.42,2.66,834
109589,0.31,Ideal,H,SI2,62.1,56.0,4.32,4.31,2.68,408
108782,1.75,Premium,I,VVS1,62.4,58.0,7.68,7.62,4.79,17096
5621,0.3,Ideal,G,VVS1,61.6,55.0,4.36,4.35,2.68,945
37364,0.27,Very Good,H,VVS2,62.0,56.0,4.15,4.17,2.58,440
111788,1.01,Very Good,F,VS2,62.6,57.0,6.33,6.37,3.99,6416
66875,0.72,Very Good,I,VS2,62.5,56.0,5.71,5.75,3.58,2359
35274,0.53,Ideal,G,VS2,62.0,55.0,5.17,5.21,3.22,1453
141523,0.32,Premium,E,VS2,61.7,58.0,4.35,4.38,2.69,842
63139,1.01,Premium,F,VVS2,60.6,60.0,6.53,6.5,3.95,9376
83550,0.4,Premium,E,SI1,59.7,60.0,4.79,4.75,2.85,882
48381,0.41,Very Good,H,SI1,62.5,56.0,4.78,4.81,2.98,874
74346,0.31,Premium,D,SI1,62.4,58.0,4.34,4.28,2.69,571
160890,0.32,Ideal,G,VS2,60.8,56.0,4.43,4.44,2.69,637
129779,0.4,Premium,F,VVS1,61.5,59.0,4.76,4.71,2.91,1263
58963,0.33,Ideal,E,VVS2,61.6,56.0,4.44,4.46,2.74,853
183224,1.25,Ideal,G,VVS1,62.2,59.0,6.87,6.9,4.3,11746
20265,1.0,Premium,D,VS2,60.8,60.0,6.47,6.42,3.92,9898
70664,0.72,Very Good,D,VS2,61.6,59.0,5.76,5.81,3.56,3689
121480,0.9,Very Good,G,SI1,60.2,57.0,6.19,6.23,3.74,3047
160309,0.7,Ideal,E,SI1,61.6,57.0,5.69,5.73,3.51,2874
177287,1.6,Premium,I,VS2,62.0,56.0,7.57,7.51,4.67,10043
119909,0.36,Ideal,F,IF,61.3,56.0,4.6,4.64,2.83,1269
147549,1.0,Ideal,D,SI2,61.0,56.0,6.43,6.48,3.94,5166
181605,1.23,Ideal,G,VS2,62.2,56.0,6.89,6.82,4.27,8629
93387,1.0,Premium,H,SI2,60.9,58.0,6.44,6.41,3.92,3927
59372,0.3,Premium,F,VVS1,59.6,61.0,4.38,4.36,2.6,746
114099,0.72,Ideal,F,SI1,62.1,55.0,5.72,5.73,3.55,2649
49739,0.37,Ideal,F,SI1,62.2,54.0,4.6,4.64,2.88,638
180397,1.19,Premium,G,VS2,62.3,58.0,6.78,6.73,4.2,7389
165351,0.38,Premium,E,VS2,60.9,59.0,4.72,4.66,2.86,1013
88042,1.5,Good,F,SI2,64.2,60.0,7.16,7.2,4.61,9358
172790,0.42,Premium,D,SI1,59.7,58.0,4.9,4.87,2.9,993
12331,0.7,Very Good,E,SI1,62.4,59.0,5.64,5.68,3.53,2650
188724,1.56,Ideal,H,SI2,62.5,56.0,7.39,7.43,4.64,7840
72834,0.31,Premium,F,VS2,60.3,58.0,4.43,4.4,2.67,802
145233,0.3,Ideal,I,VS1,62.3,56.0,4.26,4.29,2.66,495
157087,1.17,Premium,G,VS2,61.3,58.0,6.82,6.78,4.17,9205
139580,1.52,Premium,I,SI1,62.3,59.0,7.32,7.3,4.56,8004
103613,2.06,Premium,J,VS2,60.7,60.0,8.21,8.29,4.97,13667
26608,0.78,Ideal,E,SI1,61.3,56.0,5.93,5.97,3.66,3163
179854,0.7,Ideal,H,SI2,60.6,56.0,5.76,5.8,3.5,2177
